 ,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,
1996:Q3,81.40,96.23,84.65,90.49,90.97,86.85,86.65,78.15,85.17,82.46,65.66,94.54,95.96,90.57,92.21,88.89,75.13,82.85,81.68,82.84,88.71,70.45,87.61,
1996:Q4,81.96,96.30,84.96,90.68,90.39,86.68,87.21,78.57,84.85,81.97,66.59,94.77,96.41,91.48,92.43,89.61,75.12,83.39,81.87,83.11,89.20,72.49,88.60,
1997:Q1,82.34,96.34,85.62,91.17,90.58,86.64,86.16,80.07,85.48,83.33,68.14,94.60,96.28,91.47,94.07,91.05,75.46,85.04,82.02,83.54,89.90,75.78,88.97,
1997:Q2,82.83,97.04,85.37,91.55,91.55,86.72,86.72,80.84,84.48,84.38,70.27,94.64,95.74,91.44,94.45,91.54,76.18,85.72,81.52,84.10,89.89,77.94,89.39,
1997:Q3,82.90,96.65,87.34,92.03,90.73,86.84,86.21,81.71,86.27,84.83,70.54,94.40,96.11,90.92,95.86,92.08,77.83,85.57,81.20,84.89,89.55,79.88,90.85,
1997:Q4,82.79,97.25,87.42,92.58,91.21,87.34,86.82,82.23,88.46,84.57,71.50,94.10,96.41,89.58,96.78,92.62,78.38,85.59,81.98,85.91,89.34,81.59,91.92,
1998:Q1,82.54,97.97,87.48,93.28,91.85,88.86,88.04,82.48,87.26,85.31,74.39,93.11,96.54,85.58,97.97,93.55,80.42,84.66,82.55,87.31,89.38,83.66,92.58,
1998:Q2,82.91,97.95,87.55,94.03,91.40,89.23,89.16,82.48,87.44,85.92,74.93,93.15,96.12,86.62,100.14,94.39,81.08,84.55,83.13,88.32,89.12,84.65,92.66,
1998:Q3,83.63,98.64,89.29,94.89,91.96,89.28,89.18,83.45,89.96,86.78,76.20,93.36,95.92,87.33,100.19,95.01,80.75,84.45,83.39,89.01,88.54,85.11,92.99,
1998:Q4,83.65,99.66,90.22,95.67,92.73,89.40,90.44,84.34,90.64,86.25,77.10,93.51,96.07,87.30,100.34,95.88,81.07,85.68,83.98,89.50,88.22,85.04,92.58,
1999:Q1,84.46,99.74,90.06,96.10,93.42,87.31,92.21,85.53,90.96,86.13,79.09,94.25,95.89,87.31,99.09,95.70,82.06,86.94,84.26,89.90,88.21,82.46,92.61,
1999:Q2,86.03,97.20,90.82,96.73,93.07,88.22,92.93,85.26,90.70,88.84,81.20,94.26,96.03,88.06,98.50,96.31,82.20,88.47,85.16,90.04,88.34,82.15,93.48,
1999:Q3,86.62,98.85,91.23,97.27,93.82,88.37,92.63,86.82,90.93,89.16,81.40,95.07,95.97,88.14,100.63,96.85,82.29,90.13,86.12,90.44,88.29,82.23,93.99,
1999:Q4,87.05,98.96,91.46,97.93,95.28,88.07,93.86,87.10,91.98,90.24,83.06,93.91,95.89,88.23,98.99,99.28,82.15,91.47,87.58,91.29,88.49,82.50,93.95,
2000:Q1,87.31,98.88,91.94,98.71,95.85,87.67,93.85,87.50,92.55,91.16,84.10,93.16,95.71,87.45,98.87,98.91,83.36,92.16,88.51,91.89,88.82,84.44,94.44,
2000:Q2,87.10,99.52,92.64,99.40,95.93,88.69,94.85,87.74,93.27,92.63,85.97,94.60,95.52,89.15,96.77,98.16,84.81,91.58,89.85,92.54,89.19,85.17,94.94,
2000:Q3,89.03,100.71,93.60,99.80,95.49,88.52,94.60,86.57,93.44,94.44,87.08,95.76,95.13,88.34,95.05,99.19,85.00,90.12,90.56,93.19,89.63,84.82,95.91,
2000:Q4,88.54,101.25,94.99,100.09,94.97,88.95,95.24,85.55,95.98,95.27,88.15,97.54,95.16,88.13,92.28,99.99,85.09,88.53,91.80,93.41,89.92,83.25,96.63,
2001:Q1,89.08,102.66,96.85,101.22,98.02,89.60,95.65,86.63,95.50,95.96,89.46,98.55,95.35,87.95,92.42,102.05,82.82,88.78,93.81,93.82,90.01,83.00,97.58,
2001:Q2,89.97,102.45,93.43,101.38,97.96,90.69,96.52,89.66,95.32,96.15,90.41,97.44,95.60,88.92,91.73,103.51,82.98,89.00,95.18,93.88,90.15,80.32,98.17,
2001:Q3,91.27,102.22,95.54,101.47,97.93,90.50,96.61,89.60,96.55,96.88,91.22,97.09,95.87,89.30,92.24,105.02,84.65,89.62,96.33,94.99,90.87,81.70,98.79,
2001:Q4,92.54,102.18,96.30,101.65,97.70,91.14,97.73,89.09,97.30,97.70,91.83,97.02,96.19,90.36,93.07,104.07,86.48,89.84,96.28,94.51,91.48,83.75,99.20,
2002:Q1,92.23,102.02,97.12,100.60,96.58,92.27,97.82,91.03,97.32,97.64,91.96,98.30,96.56,91.31,94.82,102.93,88.33,90.32,97.01,95.75,91.76,87.25,98.59,
2002:Q2,90.61,101.80,96.00,100.34,96.70,93.49,97.98,88.45,97.73,98.15,92.34,98.85,96.96,91.98,95.08,103.14,89.27,89.42,97.73,96.11,91.79,88.32,96.74,
2002:Q3,90.53,100.67,96.22,100.00,97.62,93.93,97.68,90.91,98.03,97.88,91.71,97.80,97.22,92.49,94.36,102.95,91.14,89.18,98.45,95.92,91.73,89.81,95.51,
2002:Q4,90.68,100.98,96.36,99.63,98.05,94.67,98.55,93.43,99.81,97.82,91.76,97.93,97.35,92.84,92.94,102.57,91.43,88.88,98.58,95.97,91.75,92.09,94.93,
2003:Q1,91.35,100.64,97.20,98.87,97.78,95.05,98.72,94.06,97.88,98.22,92.24,98.13,97.38,93.29,91.05,101.42,90.32,88.90,97.84,95.88,91.94,94.31,95.08,
